,precision,recall,f1-score,support
ASCENDINGCOLON_ADENOCARCINOMA,0.6466666666666666,0.776,0.7054545454545454,125.0
CASIGMOID_COLON,0.6354166666666666,0.488,0.5520361990950227,125.0
CECUM,0.9739130434782609,0.896,0.9333333333333333,125.0
COLONADENOCARCINOMA,0.5364238410596026,0.648,0.5869565217391305,125.0
ESOPHAGITIS,0.72,0.864,0.7854545454545454,125.0
HEMORRHOID_suspected_CA_colon,0.7985074626865671,0.856,0.8262548262548263,125.0
ILEOCECAL_GROWTH,0.8189655172413793,0.76,0.7883817427385892,125.0
POLYPS,0.8137931034482758,0.944,0.8740740740740741,125.0
PYLORUS,0.9185185185185185,0.992,0.9538461538461539,125.0
RECTADENOCARCINOMA,0.6412213740458015,0.672,0.65625,125.0
RECTGROWTH,0.9361702127659575,0.704,0.8036529680365296,125.0
SQUAMUS_CELL_ANAL_CARCINOMA,0.957983193277311,0.8444444444444444,0.8976377952755905,135.0
ULCERATIVE_COLITIS,0.8828125,0.904,0.8932806324110671,125.0
Z_LINE,0.84375,0.648,0.7330316742081447,125.0
accuracy,0.7857954545454545,0.7857954545454545,0.7857954545454545,0.7857954545454545
macro avg,0.7945815785610719,0.7854603174603174,0.7849746437086823,1760.0
weighted avg,0.795509996826505,0.7857954545454545,0.7856147752516762,1760.0
