,precision,recall,f1-score,support
ASCENDINGCOLON_ADENOCARCINOMA,0.10743801652892562,0.104,0.10569105691056911,125.0
CASIGMOID_COLON,0.09090909090909091,0.016,0.027210884353741496,125.0
CECUM,0.20168067226890757,0.192,0.19672131147540983,125.0
COLONADENOCARCINOMA,0.08695652173913043,0.096,0.09125475285171103,125.0
ESOPHAGITIS,0.34563758389261745,0.824,0.48699763593380613,125.0
HEMORRHOID_suspected_CA_colon,0.0,0.0,0.0,125.0
ILEOCECAL_GROWTH,0.14,0.056,0.08,125.0
POLYPS,0.0,0.0,0.0,125.0
PYLORUS,0.15151515151515152,0.2,0.1724137931034483,125.0
RECTADENOCARCINOMA,0.17370892018779344,0.592,0.26860254083484575,125.0
RECTGROWTH,0.0,0.0,0.0,125.0
SQUAMUS_CELL_ANAL_CARCINOMA,0.11055276381909548,0.16296296296296298,0.1317365269461078,135.0
ULCERATIVE_COLITIS,0.11688311688311688,0.072,0.0891089108910891,125.0
Z_LINE,0.13953488372093023,0.144,0.14173228346456693,125.0
accuracy,0.17556818181818182,0.17556818181818182,0.17556818181818182,0.17556818181818182
macro avg,0.11891548010462569,0.17564021164021165,0.12796212119752112,1760.0
weighted avg,0.11886796467118517,0.17556818181818182,0.127983566684729,1760.0
